index;index;value
0;0;0
1;1;0
2;2;0.09801714
3;3;0.09801714
4;4;0.19509032
5;5;0.29028466
6;6;0.29028466
7;7;0.38268346
8;8;0.47139674
9;9;0.47139674
10;10;0.55557024
11;11;0.63439333
12;12;0.63439333
13;13;0.7071068
14;14;0.7071068
15;15;0.7730105
16;16;0.83146966
17;17;0.83146966
18;18;0.8819213
19;19;0.9238795
20;20;0.9238795
21;21;0.95694035
22;22;0.9807853
23;23;0.9807853
24;24;0.9951847
25;25;0.9951847
26;26;1
27;27;0.9951847
28;28;0.9951847
29;29;0.98078525
30;30;0.95694035
31;31;0.95694035
32;32;0.9238795
33;33;0.88192123
34;34;0.88192123
35;35;0.83146954
36;36;0.83146954
37;37;0.7730105
38;38;0.70710677
39;39;0.70710677
40;40;0.6343932
41;41;0.5555701
42;42;0.5555701
43;43;0.47139663
44;44;0.38268328
45;45;0.38268328
46;46;0.2902847
47;47;0.19509031
48;48;0.19509031
49;49;0.0980171
50;50;0.0980171
51;51;-0.00000008742278
52;52;-0.09801727
53;53;-0.09801727
54;54;-0.19509049
55;55;-0.29028487
56;56;-0.29028487
57;57;-0.38268343
58;58;-0.47139677
59;59;-0.47139677
60;60;-0.5555703
61;61;-0.5555703
62;62;-0.6343934
63;63;-0.7071069
64;64;-0.7071069
65;65;-0.77301043
66;66;-0.8314697
67;67;-0.8314697
68;68;-0.8819213
69;69;-0.9238797
70;70;-0.9238797
71;71;-0.95694035
72;72;-0.95694035
73;73;-0.98078525
74;74;-0.9951847
75;75;-0.9951847
76;76;-1
77;77;-0.9951847
78;78;-0.9951847
79;79;-0.98078525
80;80;-0.95694023
81;81;-0.95694023
82;82;-0.92387944
83;83;-0.92387944
84;84;-0.8819213
85;85;-0.8314695
86;86;-0.8314695
87;87;-0.77301043
88;88;-0.70710653
89;89;-0.70710653
90;90;-0.63439316
91;91;-0.5555703
92;92;-0.5555703
93;93;-0.47139654
94;94;-0.38268343
95;95;-0.38268343
96;96;-0.2902844
97;97;-0.2902844
98;98;-0.19509023
99;99;-0.09801677
100;100;-0.09801677
101;101;0
102;102;0.09801714
103;103;0.09801714
104;104;0.19509032
105;105;0.29028466
106;106;0.29028466
107;107;0.38268346
108;108;0.38268346
109;109;0.47139674
110;110;0.55557024
111;111;0.55557024
112;112;0.63439333
113;113;0.7071068
114;114;0.7071068
115;115;0.7730105
116;116;0.83146966
117;117;0.83146966
118;118;0.8819213
119;119;0.8819213
120;120;0.9238795
121;121;0.95694035
122;122;0.95694035
123;123;0.9807853
124;124;0.9951847
125;125;0.9951847
126;126;1
127;127;0.9951847
128;128;0.9951847
129;129;0.98078525
130;130;0.95694035
131;131;0.95694035
132;132;0.9238795
133;133;0.9238795
134;134;0.88192123
135;135;0.83146954
136;136;0.83146954
137;137;0.7730105
138;138;0.70710677
139;139;0.70710677
140;140;0.6343932
141;141;0.5555701
142;142;0.5555701
143;143;0.47139663
144;144;0.47139663
145;145;0.38268328
146;146;0.2902847
147;147;0.2902847
148;148;0.19509031
149;149;0.0980171
150;150;0.0980171
151;151;-0.00000008742278
152;152;-0.09801727
153;153;-0.09801727
154;154;-0.19509049
155;155;-0.19509049
156;156;-0.29028487
157;157;-0.38268343
158;158;-0.38268343
159;159;-0.47139677
160;160;-0.5555703
161;161;-0.5555703
162;162;-0.6343934
163;163;-0.7071069
164;164;-0.7071069
165;165;-0.77301043
166;166;-0.77301043
167;167;-0.8314697
168;168;-0.8819213
169;169;-0.8819213
170;170;-0.9238797
171;171;-0.95694035
172;172;-0.95694035
173;173;-0.98078525
174;174;-0.9951847
175;175;-0.9951847
176;176;-1
177;177;-0.9951847
178;178;-0.9951847
179;179;-0.98078525
180;180;-0.98078525
181;181;-0.95694023
182;182;-0.92387944
183;183;-0.92387944
184;184;-0.8819213
185;185;-0.8314695
186;186;-0.8314695
187;187;-0.77301043
188;188;-0.70710653
189;189;-0.70710653
190;190;-0.63439316
191;191;-0.63439316
192;192;-0.5555703
193;193;-0.47139654
194;194;-0.47139654
195;195;-0.38268343
196;196;-0.2902844
197;197;-0.2902844
198;198;-0.19509023
199;199;-0.09801677
200;200;-0.09801677
201;201;0
202;202;0
203;203;0.09801714
204;204;0.19509032
205;205;0.19509032
206;206;0.29028466
207;207;0.38268346
208;208;0.38268346
209;209;0.47139674
210;210;0.55557024
211;211;0.55557024
212;212;0.63439333
213;213;0.7071068
214;214;0.7071068
215;215;0.7730105
216;216;0.7730105
217;217;0.83146966
218;218;0.8819213
219;219;0.8819213
220;220;0.9238795
221;221;0.95694035
222;222;0.95694035
223;223;0.9807853
224;224;0.9951847
225;225;0.9951847
226;226;1
227;227;1
228;228;0.9951847
229;229;0.98078525
230;230;0.98078525
231;231;0.95694035
232;232;0.9238795
233;233;0.9238795
234;234;0.88192123
235;235;0.83146954
236;236;0.83146954
237;237;0.7730105
238;238;0.7730105
239;239;0.70710677
240;240;0.6343932
241;241;0.6343932
242;242;0.5555701
243;243;0.47139663
244;244;0.47139663
245;245;0.38268328
246;246;0.2902847
247;247;0.2902847
248;248;0.19509031
249;249;0.19509031
250;250;0.0980171
251;251;-0.00000008742278
252;252;-0.00000008742278
253;253;-0.09801727
254;254;-0.19509049
255;255;-0.19509049
256;256;-0.29028487
257;257;-0.38268343
258;258;-0.38268343
259;259;-0.47139677
260;260;-0.5555703
261;261;-0.5555703
262;262;-0.6343934
263;263;-0.6343934
264;264;-0.7071069
265;265;-0.77301043
266;266;-0.77301043
267;267;-0.8314697
268;268;-0.8819213
269;269;-0.8819213
270;270;-0.9238797
271;271;-0.95694035
272;272;-0.95694035
273;273;-0.98078525
274;274;-0.98078525
275;275;-0.9951847
276;276;-1
277;277;-1
278;278;-0.9951847
279;279;-0.98078525
280;280;-0.98078525
281;281;-0.95694023
282;282;-0.92387944
283;283;-0.92387944
284;284;-0.8819213
285;285;-0.8819213
286;286;-0.8314695
287;287;-0.77301043
288;288;-0.77301043
289;289;-0.70710653
290;290;-0.63439316
291;291;-0.63439316
292;292;-0.5555703
293;293;-0.47139654
294;294;-0.47139654
295;295;-0.38268343
296;296;-0.2902844
297;297;-0.2902844
298;298;-0.19509023
299;299;-0.19509023
300;300;-0.09801677
301;301;0
302;302;0
303;303;0.09801714
304;304;0.19509032
305;305;0.19509032
306;306;0.29028466
307;307;0.38268346
308;308;0.38268346
309;309;0.47139674
310;310;0.47139674
311;311;0.55557024
312;312;0.63439333
313;313;0.63439333
314;314;0.7071068
315;315;0.7730105
316;316;0.7730105
317;317;0.83146966
318;318;0.8819213
319;319;0.8819213
320;320;0.9238795
321;321;0.9238795
322;322;0.95694035
323;323;0.9807853
324;324;0.9807853
325;325;0.9951847
326;326;1
327;327;1
328;328;0.9951847
329;329;0.98078525
330;330;0.98078525
331;331;0.95694035
332;332;0.95694035
333;333;0.9238795
334;334;0.88192123
335;335;0.88192123
336;336;0.83146954
337;337;0.7730105
338;338;0.7730105
339;339;0.70710677
340;340;0.6343932
341;341;0.6343932
342;342;0.5555701
343;343;0.47139663
344;344;0.47139663
345;345;0.38268328
346;346;0.38268328
347;347;0.2902847
348;348;0.19509031
349;349;0.19509031
350;350;0.0980171
351;351;-0.00000008742278
352;352;-0.00000008742278
353;353;-0.09801727
354;354;-0.19509049
355;355;-0.19509049
356;356;-0.29028487
357;357;-0.29028487
358;358;-0.38268343
359;359;-0.47139677
360;360;-0.47139677
361;361;-0.5555703
362;362;-0.6343934
363;363;-0.6343934
364;364;-0.7071069
365;365;-0.77301043
366;366;-0.77301043
367;367;-0.8314697
368;368;-0.8314697
369;369;-0.8819213
370;370;-0.9238797
371;371;-0.9238797
